"video_id,comment_count,comments_status,view_count,like_count,error"
"gndDVuExTnM,3625,enabled,7583658,40163,"
"NYuu0NNryS8,9464,enabled,23111295,135935,"
"m77_wQWnSp4,0,disabled,64888,186,"
"LBf1bxP2Pro,3834,enabled,8242937,58263,"
"cjEj2DnJ5So,500,enabled,1151696,8667,"
"Of7CU5dpvi8,29,enabled,10196,219,"
"rPpaQTx2hMQ,227,enabled,283003,3575,"
"_qADYyrn5zA,578,enabled,700319,10411,"
"IN_kywkEyhc,1635,enabled,808619,6983,"
"gNie7TOut2k,3708,enabled,3053675,61413,"
"7kaGsSsvFlw,271,enabled,374336,2679,"
"we4maOly4UQ,5066,enabled,5552226,32908,"
"3oStcXtuDp4,8,enabled,472,11,"
"EkZv1DmDXVc,55,enabled,577237,680,"
"Q89Z5nx-vj4,260,enabled,561333,3975,"
"pPK-areqUAg,34,enabled,16659,392,"
"-eWWG1Lc9_Y,1860,enabled,1708264,16378,"
"uD-BMoEOpig,142,enabled,1784709,5509,"
"igLSdbF6yv4,16816,enabled,3863351,55596,"
"SoGwfhO0yGU,922,enabled,2863614,39864,"
"YHGR1mRXKlA,0,disabled,178865,1817,"
"Cq_Q1pbY5Q4,7306,enabled,6533710,67205,"
"aknKsPD9MKc,13988,enabled,11679740,53589,"
"YsQVB8_XeqU,13,enabled,8219,111,"
"RYz4YG2krIM,0,disabled,41577,2304,"
"hbRwfWqSBwg,4637,enabled,857483,15456,"
"mkBO1AThsvQ,156,enabled,608671,2175,"
"feOmQUbK_s0,0,disabled,204869,8294,"
"Y_TF9N2XlAs,121,enabled,165022,1404,"
"JO_b-YZU4_Y,3020,enabled,304702,4393,"
"_04DT_GlXPk,25,enabled,9596,257,"
"BVI87Bybuwc,207,enabled,1022065,4702,"
"NFFa95zbqVE,19,enabled,4862,192,"
"ZoemTySxFso,4803,enabled,4153889,48218,"
"IJHPrPCAEXA,546,enabled,4377796,11681,"
"7QZ4RboU6_E,6096,enabled,9315136,37978,"
